Disease,Description
Typhoid,Typhoid is a bacterial infection spread through contaminated food and water. It is associated with poor hygiene and sanitation. Early diagnosis and proper antibiotic treatment are important to prevent complications and ensure complete recovery from the disease.
hepatitis A,"Hepatitis A is a viral infection that affects the liver and spreads through contaminated food or water. It is usually short-term and preventable through vaccination, proper hygiene, and safe food practices in daily life."
Hepatitis B,Hepatitis B is a serious viral infection that affects the liver and spreads through blood and body fluids. It can become chronic if untreated. Vaccination and regular medical care are essential for prevention and long-term management.
Hepatitis C,Hepatitis C is a viral infection that spreads through infected blood and mainly affects the liver. It can lead to long-term complications if untreated. Early detection and antiviral medications help manage and control the disease effectively.
Hepatitis D,Hepatitis D is a rare liver infection that occurs only in individuals already infected with hepatitis B. It increases the severity of liver disease. Preventing hepatitis B is the primary way to reduce the risk of hepatitis D infection.
Hepatitis E,Hepatitis E is a viral infection that affects the liver and spreads through contaminated water. It is more common in areas with poor sanitation. It is usually self-limiting but requires proper care and hygiene for recovery.
Alcoholic hepatitis,Alcoholic hepatitis is a liver condition caused by long-term excessive alcohol consumption. It leads to inflammation and damage to liver cells. Avoiding alcohol and following medical advice are essential steps for recovery and preventing further complications.
Tuberculosis,Tuberculosis is a bacterial infection that primarily affects the lungs and spreads through airborne droplets. It requires long-term antibiotic treatment. Early diagnosis and adherence to treatment are important to control the disease and prevent its spread.
Common Cold,"The common cold is a mild viral infection affecting the upper respiratory system. It spreads easily through air and contact. It usually resolves on its own with rest, hydration, and basic care without requiring major medical treatment."
Pneumonia,"Pneumonia is an infection that affects the lungs and causes inflammation of the air sacs. It can be caused by bacteria, viruses, or fungi. Proper diagnosis and treatment are necessary depending on the severity of the condition."
Dimorphic hemmorhoids(piles),"Hemorrhoids, or piles, are swollen veins in the lower rectum or anus. They are often associated with lifestyle and dietary habits. Treatment includes dietary changes, medications, and in some cases, minor medical procedures."
Heart attack,"A heart attack occurs when blood flow to a part of the heart is blocked, leading to damage of heart muscle tissue. It is a medical emergency. Immediate treatment and long-term lifestyle changes are essential for recovery."
Varicose veins,"Varicose veins are enlarged and twisted veins, usually found in the legs, caused by poor blood circulation. They may develop due to prolonged standing or genetic factors. Treatment includes lifestyle changes and medical procedures if needed."
Hypothyroidism,"Hypothyroidism is a condition where the thyroid gland produces insufficient hormones, affecting metabolism and body functions. It is usually managed with hormone replacement therapy and regular monitoring under medical supervision."
Hyperthyroidism,"Hyperthyroidism occurs when the thyroid gland produces excessive hormones, leading to increased metabolic activity. It affects multiple body functions and is managed through medications, therapy, or surgery based on severity."
Hypoglycemia,"Hypoglycemia is a condition where blood sugar levels fall below normal, often related to diabetes management. It requires timely intake of glucose or food and careful monitoring to maintain stable blood sugar levels."
Osteoarthristis,"Osteoarthritis is a degenerative joint disease caused by the gradual breakdown of cartilage. It commonly affects older individuals and leads to reduced joint flexibility. Management includes exercise, lifestyle changes, and medications."
Arthritis,"Arthritis refers to inflammation of joints, leading to stiffness and reduced mobility. It includes various types such as rheumatoid and osteoarthritis. Treatment focuses on controlling inflammation and improving joint function."
(vertigo) Paroymsal Positional Vertigo,his condition affects balance due to disturbances in the inner ear. It causes a spinning sensation when head position changes. It is usually treated with specific physical maneuvers and medical guidance.
Acne,"Acne is a common skin condition caused by clogged hair follicles and excess oil production. It often affects teenagers and young adults. Treatment includes proper skincare, medications, and maintaining good hygiene habits."
Urinary tract infection,"A urinary tract infection is a bacterial infection affecting parts of the urinary system, including the bladder or kidneys. It develops due to microbial growth in the tract and is treated using antibiotics and proper hygiene practices."
Psoriasis,"A urinary tract infection is a bacterial infection affecting parts of the urinary system, including the bladder or kidneys. It develops due to microbial growth in the tract and is treated using antibiotics and proper hygiene practices."
Impetigo,"Psoriasis is a chronic autoimmune skin disorder that speeds up the life cycle of skin cells, causing abnormal buildup on the surface. It is long-term in nature and managed through medications, lifestyle adjustments, and regular dermatological care."
Chronic Obstructive Pulmonary Disease (COPD),Chronic obstructive pulmonary disease is a long-term lung condition that restricts airflow and reduces breathing efficiency. It is mainly caused by smoking or exposure to harmful particles and requires continuous treatment and lifestyle management to control progression.
Gout,Gout is a form of inflammatory arthritis caused by the accumulation of uric acid crystals in joints. It is associated with metabolic imbalance and dietary factors. Treatment includes medications and lifestyle changes to control uric acid levels effectively.
Celiac Disease,"Celiac disease is an autoimmune disorder in which the body reacts abnormally to gluten, damaging the lining of the small intestine. It affects nutrient absorption and requires a strict lifelong gluten-free diet for proper management and recovery."
Kidney Stones,"Kidney stones are hard deposits formed from minerals and salts within the kidneys due to imbalances in urine composition. They can vary in size and are managed through hydration, medications, or medical procedures depending on severity."
Irritable Bowel Syndrome (IBS),"Irritable bowel syndrome is a functional digestive disorder affecting the large intestine. It is related to gut sensitivity and irregular bowel function. Management focuses on dietary changes, stress reduction, and medical guidance for long-term control."
Glaucoma,"Glaucoma is a group of eye conditions that damage the optic nerve, often due to increased pressure inside the eye. It can lead to vision loss if untreated. Early detection and proper treatment are essential for preserving eyesight."
Cataract,"Cataract is a condition where the eye’s natural lens becomes cloudy, reducing vision clarity over time. It is commonly related to aging and is treated effectively through a surgical procedure that replaces the affected lens."
Pancreatitis,"Pancreatitis is inflammation of the pancreas that affects digestion and hormone regulation. It can occur in acute or chronic forms. Treatment involves medical care, dietary management, and lifestyle changes to prevent further damage."
Sinusitis,Sinusitis is inflammation of the sinus cavities caused by infection or allergies. It affects normal drainage and airflow within the sinuses. Treatment includes medications and supportive care to reduce inflammation and restore normal function.
Vertigo,"Vertigo is a condition characterized by a false sensation of movement or spinning, often related to inner ear or balance system disorders. It affects orientation and stability and is managed through treatment based on the underlying cause."
Tonsillitis,"Tonsillitis is inflammation of the tonsils, usually caused by viral or bacterial infection. It affects the throat region and may require medication or, in recurrent cases, surgical removal for long-term relief."
Acid Reflux (distinct from GERD),Acid reflux is a temporary condition in which stomach acid flows back into the food pipe due to improper closure of the lower esophageal valve. It is often linked to lifestyle factors and managed through simple dietary and habit changes.
Sciatica,"Sciatica is a condition where the sciatic nerve becomes compressed or irritated, causing discomfort along its pathway from the lower back to the legs. Treatment includes physiotherapy, medications, and lifestyle adjustments to relieve pressure on the nerve"
Food Poisoning,"Food poisoning occurs due to consumption of contaminated food or water containing harmful bacteria, viruses, or toxins. It affects the digestive system and is prevented by maintaining proper hygiene, safe food handling, and adequate cooking practices."
Heat Stroke,"Heat stroke is a severe condition caused by prolonged exposure to high temperatures, leading to failure of the body’s temperature regulation system. It requires immediate medical attention to prevent serious complications and protect vital organs."
Frozen Shoulder,Frozen shoulder is a condition characterized by stiffness and restricted movement in the shoulder joint due to inflammation and tightening of surrounding tissues. It develops gradually and is treated with physiotherapy and medications.
Dehydration,"Dehydration occurs when the body loses more fluids than it receives, leading to imbalance in normal body functions. It can result from heat, illness, or insufficient intake and is managed by restoring fluid levels"
Motion Sickness,Motion sickness occurs when the brain receives conflicting signals from the inner ear and visual system during movement. It is commonly experienced during travel and can be managed using medications and preventive measures.
